,TIME,KILLER,DEAD,KILL_METHOD,CURRENT_STATUS
35,0:49.00,HiliPeracTive,The-Phoenix,weapon,dead
36,0:49.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
37,0:49.00,CXMKleitonLyzFole,SmellyAfricans,weapon,dead
38,0:49.00,HiiiPeracTive,The-Phoenix,weapon,dead
39,0:50.00,CXMKleitonLyzFole,SmellyAfricans,weapon,dead
40,0:50.00,[QQGG] BroadwayBRETT,MildCaucazian,weapon,dead
41,0:50.00,HiiiPeracTive,The-Phoenix,weapon,dead
42,0:50.00,TheMilkMan,TheClappening,weapon,dead
43,0:51.00,CXM KleitonLyzFole,SmellyAfricans,weapon,dead
44,0:51.00,[QQGG] BroadwayBRETT,MildCaucazian,weapon,dead
45,0:51.00,HiliPeracTive,The-Phoenix,weapon,dead
46,0:51.00,TheMilkMan,TheClappening,weapon,dead
47,0:51.00,CXM KleitonLyzFole,SmellyAfricans,weapon,dead
48,0:51.00,QQGG BroadwayBRETT,MildCaucazian,weapon,dead
